suite_id,app_id,benchmark_name,attempt_round,strategy,path_checked,command,exit_code,timeout,log_path,data_status,command_status,blocker_after,notes
parboil,parboil_imghisto,imghisto,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/imghisto,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/imghisto"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/imghisto"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/imghisto; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_imghisto_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_imghisto,imghisto,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_imghisto_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_lbm,lbm,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/lbm,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/lbm"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/lbm"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/lbm; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_lbm_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_lbm,lbm,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_lbm_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_mri_fhd,mri-fhd,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-fhd,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-fhd"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-fhd"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-fhd; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_fhd_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_mri_fhd,mri-fhd,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_fhd_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_mri_gridding,mri-gridding,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-gridding,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-gridding"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-gridding"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/mri-gridding; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_gridding_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_mri_gridding,mri-gridding,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_gridding_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_pns,pns,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/pns,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/pns"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/pns"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/pns; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_pns_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_pns,pns,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_pns_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_rpes,rpes,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/rpes,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/rpes"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/rpes"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/rpes; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_rpes_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_rpes,rpes,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_rpes_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_sad,sad,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/sad,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/sad"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/sad"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/sad; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_sad_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_sad,sad,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_sad_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_simple_mm,simple_mm,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/simple_mm,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/simple_mm"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/simple_mm"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/simple_mm; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_simple_mm_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_simple_mm,simple_mm,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_simple_mm_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_tpacf,tpacf,round1,data_probe_1,/workspace/repos/gpgpu-workloads/suites/parboil/datasets/tpacf,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/tpacf"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/datasets/tpacf"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/datasets/tpacf; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_tpacf_round1_data_probe_1.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
parboil,parboil_tpacf,tpacf,round2,data_probe_2,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/datasets,"if [ -e ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/datasets"" ]; then find ""/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/datasets"" -maxdepth 3 -type f | sed -n ""1,80p""; else echo missing:/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/datasets; fi",0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_tpacf_round2_data_probe_2.log,missing_or_unverified_data,unknown,missing_or_unverified_data,0 files
