paper_id,mode,wrapper_path,w17_update_status,phase_mapping_status,exit_code,timeout,status,log_path,notes
"kmeans_2","actual","experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh","app_level_ready_phase_pending","app_level_pending_kernel_trace","0","0","actual_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/kmeans_2_actual.log",""
"lavamd","dry-run","experiments/paper-mascar/workloads/wrappers/run_lavamd.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/lavamd_dry_run.log",""
"leuko_2","dry-run","experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/leuko_2_dry_run.log",""
"leuko_3","dry-run","experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/leuko_3_dry_run.log",""
"mri_q","dry-run","experiments/paper-mascar/workloads/wrappers/run_mri_q.sh","unchanged_ready","inferred","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/mri_q_dry_run.log",""
"mrig_3","dry-run","experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/mrig_3_dry_run.log",""
"pathfinder","dry-run","experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh","unchanged_ready","inferred","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/pathfinder_dry_run.log",""
"sad_1","dry-run","experiments/paper-mascar/workloads/wrappers/run_sad_1.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/sad_1_dry_run.log",""
"sgemm","dry-run","experiments/paper-mascar/workloads/wrappers/run_sgemm.sh","unchanged_ready","inferred","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/sgemm_dry_run.log",""
"stencil","dry-run","experiments/paper-mascar/workloads/wrappers/run_stencil.sh","unchanged_ready","inferred","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/stencil_dry_run.log",""
"tpacf","dry-run","experiments/paper-mascar/workloads/wrappers/run_tpacf.sh","still_missing_binary","unavailable","0","0","dry_run_pass","/workspace/tmp/mascar_w17c_actual_smoke_fixed_20260605_135121/tpacf_dry_run.log",""
